"Date (MM/DD/YYYY)","Category","Amount","Note"
"12/31/2017","Food","-8.16",""
"12/25/2017","Food","-13.48",""
"12/24/2017","Bills","-165.0","квартплата за Январь"
"12/24/2017","Food","-10.99",""
"12/24/2017","Food","-10.46",""
"12/24/2017","Food","-9.05",""
"12/24/2017","Income","950.0","Зрплтка"
"12/20/2017","Food","-5.62",""
"12/20/2017","Food","-28.46",""
"12/17/2017","Food","-23.16",""
"12/17/2017","Food","-7.65",""
"12/17/2017","Food","-15.31",""
"12/17/2017","Food","-13.9",""
"12/15/2017","Income","150.0","авансег"
"12/10/2017","Food","-13.31",""
"12/10/2017","Food","-16.19",""
"12/10/2017","Food","-21.79",""
"12/10/2017","Food","-8.82",""
"12/10/2017","Food","-6.85",""
"12/10/2017","Food","-24.73",""
"11/30/2017","Consumables","-7.0","мультинет на Декабрь"
"11/27/2017","Income","950.0","вторая часть зарплаты"
"11/27/2017","Food","-28.24",""
"11/27/2017","Consumables","-4.79","Мыло."
"11/27/2017","Food","-14.38",""
"11/27/2017","Food","-8.43",""
"11/27/2017","Food","-6.92",""
"11/24/2017","Income","250.0","часть зарплаты"
"11/24/2017","Consumables","-27.0","проездной Декабрь"
"11/23/2017","Bills","-165.0","квртпт за Декабрь"
"11/20/2017","Med","-13.85","пульверизатор 2л"
"11/20/2017","Food","-10.29",""
"11/20/2017","Food","-22.29",""
"11/20/2017","Food","-20.07",""
"11/20/2017","Food","-1.47",""
"11/20/2017","Food","-19.93",""
"11/20/2017","Food","-5.84",""
"11/20/2017","Food","-7.45",""
"11/20/2017","Food","-12.13",""
"11/19/2017","Income","425.0","остаток зарплаты"
"11/19/2017","Bills","-2.44","за Газ"
"11/13/2017","Food","-19.32",""
"11/13/2017","Food","-7.02",""
"11/13/2017","Food","-6.64",""
"11/13/2017","Food","-10.44",""
"11/13/2017","Food","-12.93",""
"11/13/2017","Food","-15.93",""
"11/05/2017","Income","385.0","ещё часть зарплаты"
